epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,5726.72,0.84941,0.65108,0.01343,0.90972,0.86528,0.93167,0.83513,0.55738,0.49341,0.01141,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5861.77,0.84499,0.64858,0.01345,0.90162,0.89671,0.93736,0.8356,0.5684,0.46068,0.01151,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5996.76,0.83673,0.63398,0.01327,0.91283,0.86568,0.93019,0.82365,0.58469,0.48472,0.01167,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6131.81,0.83495,0.63046,0.01327,0.91538,0.88266,0.93337,0.83391,0.56078,0.46636,0.01133,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6267,0.83029,0.62935,0.01318,0.90066,0.87723,0.93401,0.8255,0.58212,0.47237,0.01211,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6401.84,0.82119,0.62171,0.01296,0.91445,0.86313,0.933,0.83464,0.55743,0.4772,0.01134,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6537.03,0.81142,0.60803,0.0128,0.90537,0.8925,0.93856,0.83888,0.55482,0.47947,0.01135,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6671.85,0.81492,0.60233,0.01288,0.9178,0.86006,0.92916,0.8323,0.54695,0.51377,0.01114,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6807.95,0.80015,0.60535,0.01272,0.90252,0.88105,0.93339,0.82971,0.55088,0.5364,0.01124,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6942.85,0.79501,0.58607,0.01251,0.89862,0.87058,0.93546,0.83347,0.54072,0.51826,0.01106,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7078.63,0.797,0.58541,0.01264,0.9114,0.87596,0.92828,0.83268,0.53815,0.52783,0.0109,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7214.08,0.78659,0.59003,0.0124,0.92109,0.87623,0.93666,0.83648,0.53264,0.50302,0.01092,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7349.09,0.77505,0.57127,0.01225,0.90645,0.88425,0.92747,0.83627,0.52669,0.51574,0.01067,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7484.53,0.77511,0.56868,0.01206,0.91494,0.87547,0.93096,0.83935,0.53945,0.51687,0.01095,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7619.83,0.76139,0.56507,0.01193,0.90307,0.87261,0.92587,0.8369,0.53686,0.53111,0.01074,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7754.99,0.76482,0.57342,0.01202,0.91981,0.88398,0.93565,0.84298,0.53726,0.50088,0.01085,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7890.37,0.75947,0.54798,0.01192,0.92382,0.87048,0.93378,0.83522,0.53823,0.48484,0.0108,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8025.6,0.75675,0.54624,0.01183,0.90493,0.88066,0.9329,0.8433,0.52077,0.49906,0.01037,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8161.12,0.75053,0.53414,0.01182,0.94245,0.86013,0.93596,0.84114,0.52974,0.48169,0.01064,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8297.53,0.74798,0.53186,0.01165,0.9285,0.88873,0.93906,0.84901,0.52464,0.45915,0.01053,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8434.14,0.73426,0.51734,0.01136,0.92022,0.88385,0.93975,0.84653,0.5208,0.47009,0.0106,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8571.67,0.72768,0.51346,0.01138,0.93549,0.87692,0.93262,0.84172,0.51602,0.50084,0.01042,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8708.02,0.72789,0.51073,0.01121,0.93068,0.86314,0.92702,0.83856,0.52291,0.52004,0.01052,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
